,MCTS,Expectiminimax
0,54,46
1,47,53
2,42,58
3,181,19
4,41,59
5,222,28
6,38,62
7,55,95
8,123,77
9,112,38
10,55,45
11,49,51
12,202,48
13,55,45
14,68,32
15,70,80
16,54,96
17,41,59
18,222,28
19,106,44
20,26,74
21,47,53
22,157,43
23,151,49
24,159,41
25,45,55
26,148,52
27,311,39
28,34,66
29,279,21
30,37,63
31,63,87
32,215,35
33,432,68
34,54,46
35,45,55
36,57,43
37,43,57
38,97,103
39,44,56
40,43,57
41,49,51
42,42,58
43,68,82
44,41,109
45,159,41
46,71,79
47,47,53
48,84,116
49,276,24
