,MCTS,Expectiminimax
0,64,86
1,45,55
2,64,136
3,49,51
4,60,90
5,173,27
6,96,54
7,203,47
8,105,95
9,278,22
10,59,91
11,41,109
12,47,53
13,70,80
14,43,57
15,44,56
16,43,57
17,142,108
18,120,30
19,61,89
20,355,45
21,118,182
22,55,95
23,134,116
24,156,44
25,41,59
26,49,51
27,36,64
28,114,36
29,43,57
30,70,80
31,57,93
32,153,147
33,96,54
34,60,40
35,65,85
36,123,27
37,198,102
38,117,133
39,151,49
40,293,57
41,54,96
42,48,102
43,47,53
44,35,65
45,337,63
46,115,85
47,261,39
48,52,98
49,33,67
