,MCTS,Expectiminimax
0,56,44
1,43,57
2,165,85
3,42,58
4,119,131
5,48,52
6,62,38
7,56,94
8,161,89
9,109,41
10,98,102
11,70,30
12,74,76
13,35,65
14,72,78
15,66,134
16,95,55
17,60,90
18,43,57
19,217,133
20,103,47
21,46,54
22,268,32
23,463,37
24,256,44
25,62,38
26,55,95
27,65,85
28,71,79
29,42,58
30,61,89
31,180,70
32,244,106
33,53,97
34,49,101
35,115,35
36,64,86
37,40,60
38,215,85
39,46,104
40,38,112
41,38,62
42,40,60
43,323,27
44,145,55
45,43,57
46,113,137
47,48,52
48,41,59
49,200,50
