,MCTS,Expectiminimax
0,45,55
1,45,55
2,105,95
3,59,41
4,45,55
5,131,19
6,51,49
7,165,35
8,48,102
9,132,18
10,33,67
11,143,7
12,58,42
13,64,86
14,49,51
15,41,59
16,165,35
17,49,51
18,30,70
19,373,27
20,165,35
21,42,58
22,154,46
23,48,52
24,79,21
25,37,63
26,44,106
27,262,38
28,178,22
29,66,84
30,30,70
31,170,30
32,33,117
33,47,53
34,60,90
35,149,51
36,251,49
37,93,57
38,101,49
39,219,31
40,48,52
41,152,48
42,43,57
43,45,55
44,107,43
45,61,89
46,58,42
47,40,60
48,32,68
49,128,22
